set BUSES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100;
set SLOTS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set WORKSHOPS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;

param Shared_passengers :=
[1, 1] 0
[1, 2] 2
[1, 3] 1
[1, 4] 5
[1, 5] 4
[1, 6] 4
[1, 7] 3
[1, 8] 2
[1, 9] 9
[1, 10] 2
[1, 11] 10
[1, 12] 7
[1, 13] 1
[1, 14] 1
[1, 15] 2
[1, 16] 4
[1, 17] 4
[1, 18] 9
[1, 19] 10
[1, 20] 1
[1, 21] 9
[1, 22] 4
[1, 23] 9
[1, 24] 7
[1, 25] 4
[1, 26] 8
[1, 27] 10
[1, 28] 5
[1, 29] 1
[1, 30] 3
[1, 31] 7
[1, 32] 6
[1, 33] 5
[1, 34] 3
[1, 35] 4
[1, 36] 6
[1, 37] 2
[1, 38] 2
[1, 39] 7
[1, 40] 2
[1, 41] 6
[1, 42] 6
[1, 43] 10
[1, 44] 5
[1, 45] 1
[1, 46] 8
[1, 47] 9
[1, 48] 2
[1, 49] 7
[1, 50] 2
[1, 51] 9
[1, 52] 5
[1, 53] 10
[1, 54] 6
[1, 55] 10
[1, 56] 4
[1, 57] 2
[1, 58] 1
[1, 59] 4
[1, 60] 5
[1, 61] 2
[1, 62] 4
[1, 63] 2
[1, 64] 7
[1, 65] 5
[1, 66] 8
[1, 67] 6
[1, 68] 3
[1, 69] 6
[1, 70] 6
[1, 71] 4
[1, 72] 5
[1, 73] 2
[1, 74] 10
[1, 75] 3
[1, 76] 9
[1, 77] 4
[1, 78] 3
[1, 79] 8
[1, 80] 7
[1, 81] 5
[1, 82] 9
[1, 83] 4
[1, 84] 6
[1, 85] 1
[1, 86] 4
[1, 87] 1
[1, 88] 6
[1, 89] 7
[1, 90] 5
[1, 91] 2
[1, 92] 4
[1, 93] 10
[1, 94] 6
[1, 95] 4
[1, 96] 8
[1, 97] 7
[1, 98] 8
[1, 99] 3
[1, 100] 5
[2, 1] 2
[2, 2] 0
[2, 3] 3
[2, 4] 4
[2, 5] 9
[2, 6] 9
[2, 7] 5
[2, 8] 10
